obsid	source
70234484	ra0hdec-44.75
70243401	ra0hdec-44.75
70366963	ra0hdec-44.75
70375718	ra0hdec-44.75
70384474	ra0hdec-44.75
70508129	ra0hdec-44.75
70516884	ra0hdec-44.75
70525726	ra0hdec-44.75
70644006	ra0hdec-44.75
70652811	ra0hdec-44.75
70661527	ra0hdec-44.75
70798013	ra0hdec-44.75
70806729	ra0hdec-44.75
70933624	ra0hdec-44.75
70942340	ra0hdec-44.75
70951143	ra0hdec-44.75
71085668	ra0hdec-44.75
71094385	ra0hdec-44.75
71103263	ra0hdec-44.75
71222950	ra0hdec-44.75
71231667	ra0hdec-44.75
71240384	ra0hdec-44.75
71393139	ra0hdec-44.75
71401855	ra0hdec-44.75
71528057	ra0hdec-44.75
71536935	ra0hdec-44.75
71545651	ra0hdec-44.75
71791135	ra0hdec-44.75
71800033	ra0hdec-44.75
71808769	ra0hdec-44.75
71923807	ra0hdec-44.75
71932544	ra0hdec-44.75
71941369	ra0hdec-44.75
72059353	ra0hdec-44.75
72068089	ra0hdec-44.75
72197111	ra0hdec-44.75
72205936	ra0hdec-44.75
72214674	ra0hdec-44.75
72338954	ra0hdec-44.75
72347692	ra0hdec-44.75
72356429	ra0hdec-44.75
72483659	ra0hdec-44.75
72492397	ra0hdec-44.75
72501220	ra0hdec-44.75
72629415	ra0hdec-44.75
72638240	ra0hdec-44.75
72765624	ra0hdec-44.75
72774360	ra0hdec-44.75
72783099	ra0hdec-44.75
72910892	ra0hdec-44.75
72919790	ra0hdec-44.75
72928526	ra0hdec-44.75
73064905	ra0hdec-44.75
73073641	ra0hdec-44.75
73082378	ra0hdec-44.75
73202524	ra0hdec-44.75
73211260	ra0hdec-44.75
73326637	ra0hdec-44.75
73335373	ra0hdec-44.75
73344271	ra0hdec-44.75
73472007	ra0hdec-44.75
73480745	ra0hdec-44.75
73489486	ra0hdec-44.75
73604601	ra0hdec-44.75
73613338	ra0hdec-44.75
73622162	ra0hdec-44.75
73736388	ra0hdec-44.75
73745125	ra0hdec-44.75
73870890	ra0hdec-44.75
73879715	ra0hdec-44.75
73888585	ra0hdec-44.75
74014708	ra0hdec-44.75
74023444	ra0hdec-44.75
74032342	ra0hdec-44.75
74163662	ra0hdec-44.75
74172400	ra0hdec-44.75
74181225	ra0hdec-44.75
74308581	ra0hdec-44.75
74317405	ra0hdec-44.75
74444470	ra0hdec-44.75
74453206	ra0hdec-44.75
74462104	ra0hdec-44.75
74588491	ra0hdec-44.75
74597228	ra0hdec-44.75
74605965	ra0hdec-44.75
74732361	ra0hdec-44.75
74741184	ra0hdec-44.75
74750053	ra0hdec-44.75
74877776	ra0hdec-44.75
74886515	ra0hdec-44.75
75013641	ra0hdec-44.75
75022379	ra0hdec-44.75
75031116	ra0hdec-44.75
75157374	ra0hdec-44.75
75166111	ra0hdec-44.75
75174933	ra0hdec-44.75
75301520	ra0hdec-44.75
75310473	ra0hdec-44.75
75458184	ra0hdec-44.75
75466920	ra0hdec-44.75
75593734	ra0hdec-44.75
75602558	ra0hdec-44.75
75611427	ra0hdec-44.75
75739855	ra0hdec-44.75
75748593	ra0hdec-44.75
75757491	ra0hdec-44.75
75885002	ra0hdec-44.75
75893740	ra0hdec-44.75
75902478	ra0hdec-44.75
76032404	ra0hdec-44.75
76041229	ra0hdec-44.75
76168430	ra0hdec-44.75
76177167	ra0hdec-44.75
76186067	ra0hdec-44.75
76312291	ra0hdec-44.75
76321031	ra0hdec-44.75
76329768	ra0hdec-44.75
76455933	ra0hdec-44.75
76464757	ra0hdec-44.75
76473626	ra0hdec-44.75
76601328	ra0hdec-44.75
76610066	ra0hdec-44.75
76741818	ra0hdec-44.75
76750556	ra0hdec-44.75
76759294	ra0hdec-44.75
76813665	ra0hdec-44.75
76822402	ra0hdec-44.75
76831139	ra0hdec-44.75
76957677	ra0hdec-44.75
76966577	ra0hdec-44.75
76975318	ra0hdec-44.75
77029710	ra0hdec-44.75
77038448	ra0hdec-44.75
77047347	ra0hdec-44.75
77179042	ra0hdec-44.75
77187779	ra0hdec-44.75
77314736	ra0hdec-44.75
77323473	ra0hdec-44.75
77757608	ra0hdec-44.75
77766477	ra0hdec-44.75
77886139	ra0hdec-44.75
77894964	ra0hdec-44.75
78022029	ra0hdec-44.75
78030767	ra0hdec-44.75
78039505	ra0hdec-44.75
78093704	ra0hdec-44.75
78102529	ra0hdec-44.75
78111399	ra0hdec-44.75
78237672	ra0hdec-44.75
78246410	ra0hdec-44.75
78255309	ra0hdec-44.75
78312893	ra0hdec-44.75
78321717	ra0hdec-44.75
78330455	ra0hdec-44.75
78474568	ra0hdec-44.75
78593015	ra0hdec-44.75
78601914	ra0hdec-44.75
78816157	ra0hdec-44.75
78824894	ra0hdec-44.75
78833631	ra0hdec-44.75
