	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0136.1.1.2540	1.4699222121383826	0.35288615132299345	1.822808363461376	0.4415967972763841	0.4332507677711419	0.4499428267816264	2539138.7986019254	131.150.x
0136.1.1.2576	1.703604097650261	0.44353078542037194	2.147134883070633	0.43802027796386583	0.42963579555394915	0.4464047603737825	2575073.246844113	135.150.x
0136.1.1.2630	1.3981977082418118	0.35458911770363394	1.7527868259454458	0.4365028811898425	0.4281596924430815	0.44484606993660347	2630004.887469113	135.150.y
0136.1.1.2670	1.517800763802808	0.3936596448248921	1.9114604086277	0.443570841413397	0.4352919132297437	0.4518497695970503	2669677.739031613	110.150.y
0136.1.1.2694	1.7549718600728206	0.43713566501563933	2.19210752508846	0.44309722360309334	0.43479828472422	0.4513961624819667	2693786.625750363	110.150.x
0136.1.1.2756	1.433972911018594	0.35115780076392983	1.7851307117825237	0.44135936512886176	0.43304983723692203	0.44966889302080143	2755661.0153988004	112.150.x
0136.1.1.2814	1.3661033099769193	0.3457409902748075	1.7118443002517267	0.4407645857763945	0.4324488700259117	0.4490803015268773	2814788.823015988	112.150.y
0136.1.1.2834	1.4943373116371892	0.4238159273458669	1.918153238983056	0.4400985205199114	0.43176893834995694	0.44842810268986577	2834014.897234738	113.150.y
0136.1.1.2912	1.6735991694379537	0.42455548338237337	2.098154652820327	0.4418167662765691	0.43348961880819914	0.45014391374493906	2911911.0153988004	113.150.x
0136.1.1.3058	1.5291084227478011	0.37068448774483215	1.8997929104926332	0.43963001474424934	0.43129814253063614	0.4479618869578626	3057556.157000363	133.150.y
0136.1.1.3098	1.6676430071555906	0.3738902462787131	2.0415332534343036	0.43828541440291957	0.42991967402510056	0.4466511547807385	3097229.008562863	133.150.x
0136.1.1.3164	1.2224104704569303	0.28430803696351087	1.5067185074204412	0.44381287645018924	0.43553621674173115	0.45208953615864733	3163681.0349300504	109.150.x
0136.1.1.3196	1.725836354888148	0.3814524424940581	2.107288797382206	0.44383951923869475	0.4355397936166252	0.4521392448607643	3196411.137469113	109.150.y
0136.1.1.3260	1.391727072959369	0.28843788616527694	1.680164959124646	0.44018335315592905	0.4317977060664049	0.44856900024545326	3260192.875750363	111.150.y
0136.1.1.3322	1.5525983027185628	0.3243228888726516	1.8769211915912145	0.44128642233839055	0.4329685349064505	0.4496043097703306	3322448.735125363	111.150.x
