	Rn	Rp	Rtotal	Tc_average	Tc_cooling	Tc_warming	bias_freq	physical_name
0135.1.1.5162	1.8710189807548903	0.1282244383433253	1.9992434190982156	0.44276797616375285	0.43409559444971535	0.4514403578777904	5162506.108172238	269.220.y
0135.1.1.5254	1.6294178084485296	0.11785165866408594	1.7472694671126154	0.44258622301455613	0.4339176252182959	0.45125482081081636	5253219.6091488	269.220.x
0135.1.3.1704	1.1335423342884898	0.2831679279506427	1.4167102622391325	0.44029915265607134	0.43160508750443327	0.44899321780770934	1703109.7458675504	253.90.y
0135.1.3.1728	1.3086158546137368	0.28640257662456803	1.595018431238305	0.44021260167245224	0.43156035350274635	0.4488648498421582	1727218.6325863004	253.90.x
0135.1.3.1774	1.2684315446029024	0.2882929632847667	1.556724507887669	0.4387604932192093	0.4300823533016356	0.447438633136783	1774749.7605159879	242.90.y
0135.1.3.1812	1.2551843120012751	0.28703014998873194	1.5422144619900071	0.43923449284657634	0.43064061249209296	0.4478283732010598	1812820.4392269254	264.90.y
0135.1.3.1852	1.2205718459315484	0.28848737507162137	1.5090592210031697	0.4398865958605541	0.43124958328908036	0.4485236084320279	1852111.8210628629	264.90.x
0135.1.3.1872	1.3992210030469718	0.3072923501614025	1.7065133532083743	0.43564759436780137	0.42695535880728386	0.4443398299283189	1871261.6013363004	172.90.x
0135.1.3.1918	1.3753212876727483	0.4019782256065775	1.7772995132793257	0.41714691977913887	0.408623841627751	0.42566999793052673	1917800.9079769254	172.90.y
0135.1.3.1954	1.1133006596291484	0.28868170664991266	1.401982366279061	0.43558285174573036	0.4269239047037843	0.44424179878767645	1954422.0017269254	217.90.y
0135.1.3.1970	1.818711910799703	0.39853061941443774	2.2172425302141407	0.4379990783992185	0.4293078932044286	0.4466902635940083	1970291.1423519254	217.90.x
0135.1.3.2026	1.145529000737746	0.287028456998265	1.4325574577360112	0.44153705665863224	0.43293939540629367	0.4501347179109708	2025985.7224300504	252.90.x
0135.1.3.2042	1.4409018358003562	0.3388749556496451	1.7797767914500013	0.4414701860534972	0.43285967788357976	0.4500806942234146	2042312.6267269254	252.90.y
0135.1.3.2084	1.3372265440319198	0.3075629409543568	1.6447894849862765	0.434276284333612	0.4256042005302163	0.4429483681370077	2083892.8269222379	171.90.y
